timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:17:11.325, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 23 %, 117.41 W, 35
2026/06/23 22:17:12.325, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 372.48 W, 63
2026/06/23 22:17:12.326, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 5 %, 101.74 W, 34
2026/06/23 22:17:12.326, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 88 %, 161.80 W, 39
2026/06/23 22:17:12.326, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 66 %, 126.45 W, 35
2026/06/23 22:17:13.326, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 96 %, 403.25 W, 73
2026/06/23 22:17:13.326, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 37 %, 101.98 W, 35
2026/06/23 22:17:13.326, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 97 %, 162.47 W, 39
2026/06/23 22:17:13.326, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 36 %, 119.58 W, 35
2026/06/23 22:17:14.327, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 605.68 W, 74
2026/06/23 22:17:14.327, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 2 %, 106.72 W, 34
2026/06/23 22:17:14.327, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 97 %, 163.06 W, 39
2026/06/23 22:17:14.327, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 44 %, 115.10 W, 35
2026/06/23 22:17:15.327, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.70 W, 73
2026/06/23 22:17:15.328, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 9 %, 110.87 W, 34
2026/06/23 22:17:15.328, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 96 %, 160.01 W, 39
2026/06/23 22:17:15.328, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 21 %, 120.07 W, 35
2026/06/23 22:17:16.328, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.72 W, 73
2026/06/23 22:17:16.328, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 13 %, 102.76 W, 35
2026/06/23 22:17:16.329, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 82 %, 160.31 W, 39
2026/06/23 22:17:16.329, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 26 %, 118.67 W, 35
2026/06/23 22:17:17.329, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 438.04 W, 64
2026/06/23 22:17:17.329, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 43 %, 108.57 W, 35
2026/06/23 22:17:17.329, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 94 %, 163.04 W, 39
2026/06/23 22:17:17.329, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 38 %, 121.74 W, 35
2026/06/23 22:17:18.329, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 373.54 W, 64
2026/06/23 22:17:18.329, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 31 %, 110.67 W, 35
2026/06/23 22:17:18.329, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 90 %, 160.31 W, 39
2026/06/23 22:17:18.330, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 61 %, 127.49 W, 35
2026/06/23 22:17:19.330, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 373.64 W, 64
2026/06/23 22:17:19.330, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 41 %, 118.15 W, 35
2026/06/23 22:17:19.330, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 88 %, 162.97 W, 39
2026/06/23 22:17:19.330, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 68 %, 126.06 W, 35
2026/06/23 22:17:20.330, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 525.77 W, 72
2026/06/23 22:17:20.331, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 40 %, 112.58 W, 35
2026/06/23 22:17:20.331, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 93 %, 164.09 W, 39
2026/06/23 22:17:20.331, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 30 %, 123.71 W, 35
2026/06/23 22:17:21.331, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 597.48 W, 74
2026/06/23 22:17:21.331, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 19 %, 121.24 W, 35
2026/06/23 22:17:21.332, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 80 %, 162.87 W, 39
2026/06/23 22:17:21.332, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 68 %, 130.43 W, 36
2026/06/23 22:17:22.332, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 603.30 W, 74
2026/06/23 22:17:22.332, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 15 %, 109.06 W, 35
2026/06/23 22:17:22.332, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 54 %, 151.27 W, 39
2026/06/23 22:17:22.332, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 26 %, 124.92 W, 35
2026/06/23 22:17:23.333, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 539.88 W, 65
2026/06/23 22:17:23.333, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 57 %, 114.93 W, 35
2026/06/23 22:17:23.333, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 86 %, 139.00 W, 38
2026/06/23 22:17:23.333, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 56 %, 127.15 W, 35
2026/06/23 22:17:24.333, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 374.21 W, 64
2026/06/23 22:17:24.333, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 25 %, 112.60 W, 35
2026/06/23 22:17:24.334, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 47 %, 145.46 W, 39
2026/06/23 22:17:24.334, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 29 %, 123.12 W, 35
2026/06/23 22:17:25.334, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 374.20 W, 64
2026/06/23 22:17:25.334, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 72 %, 119.39 W, 36
2026/06/23 22:17:25.334, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 48 %, 131.48 W, 38
2026/06/23 22:17:25.335, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 32 %, 129.29 W, 35
2026/06/23 22:17:26.335, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 396.36 W, 74
2026/06/23 22:17:26.335, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 1 %, 112.91 W, 35
2026/06/23 22:17:26.335, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 49 %, 124.38 W, 39
2026/06/23 22:17:26.335, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 38 %, 122.99 W, 35
2026/06/23 22:17:27.336, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 609.51 W, 74
2026/06/23 22:17:27.336, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 18 %, 107.39 W, 35
2026/06/23 22:17:27.336, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 89 %, 147.74 W, 39
2026/06/23 22:17:27.336, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 51 %, 123.72 W, 35
2026/06/23 22:17:28.337, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 605.22 W, 74
2026/06/23 22:17:28.337, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 47 %, 109.28 W, 35
2026/06/23 22:17:28.337, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 72 %, 145.87 W, 39
2026/06/23 22:17:28.337, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 41 %, 129.84 W, 36
2026/06/23 22:17:29.337, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.95 W, 75
2026/06/23 22:17:29.337, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 3 %, 116.63 W, 35
2026/06/23 22:17:29.338, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 15083 MiB, 97887 MiB, 39 %, 135.50 W, 38
2026/06/23 22:17:29.338, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 71 %, 129.70 W, 36
2026/06/23 22:17:30.338, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 414.61 W, 65
2026/06/23 22:17:30.338, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 71 %, 118.11 W, 36
