timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:13:50.624, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 24 %, 121.17 W, 34
2026/06/23 22:13:50.624, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 69 %, 130.69 W, 35
2026/06/23 22:13:50.624, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 72 %, 148.79 W, 35
2026/06/23 22:13:51.624, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 367.79 W, 56
2026/06/23 22:13:51.624, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 44 %, 118.95 W, 34
2026/06/23 22:13:51.624, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 35 %, 129.88 W, 34
2026/06/23 22:13:51.625, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 87 %, 151.03 W, 35
2026/06/23 22:13:52.625, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 368.07 W, 56
2026/06/23 22:13:52.625, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 73 %, 121.90 W, 34
2026/06/23 22:13:52.625, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 2 %, 125.05 W, 34
2026/06/23 22:13:52.625, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 87 %, 146.01 W, 35
2026/06/23 22:13:53.626, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 591.36 W, 67
2026/06/23 22:13:53.626, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 30 %, 127.63 W, 34
2026/06/23 22:13:53.626, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 72 %, 123.56 W, 34
2026/06/23 22:13:53.626, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 88 %, 153.94 W, 35
2026/06/23 22:13:54.626, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 598.35 W, 68
2026/06/23 22:13:54.627, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 83 %, 136.57 W, 34
2026/06/23 22:13:54.627, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 24 %, 121.37 W, 35
2026/06/23 22:13:54.627, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 88 %, 146.85 W, 35
2026/06/23 22:13:55.627, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 604.36 W, 68
2026/06/23 22:13:55.627, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 71 %, 139.54 W, 34
2026/06/23 22:13:55.627, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 76 %, 136.10 W, 34
2026/06/23 22:13:55.628, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 53 %, 126.57 W, 35
2026/06/23 22:13:56.628, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 603.31 W, 68
2026/06/23 22:13:56.628, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 60 %, 137.48 W, 34
2026/06/23 22:13:56.628, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 68 %, 131.03 W, 34
2026/06/23 22:13:56.628, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 33 %, 124.61 W, 34
2026/06/23 22:13:57.628, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 597.61 W, 69
2026/06/23 22:13:57.629, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 54 %, 133.90 W, 34
2026/06/23 22:13:57.629, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 72 %, 135.52 W, 35
2026/06/23 22:13:57.629, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 13793 MiB, 97887 MiB, 27 %, 131.06 W, 35
